UCAC2 14312220                 2460160.69074958    -20.5282    0.0079 
TYC 9277-2435-1                2460161.65902060    -41.1044    0.0070 
TYC 9260-600-1                 2460161.61223973    -53.9110    0.0076 
HE 1418+0150                   2460161.51259933    -36.2243    0.0166 
TYC 9277-2435-1                2460161.64006845    -41.1519    0.0070 
HE 1418+0150                   2460161.53612978    -36.3678    0.0191 
Source 2696956135781037312     2460161.79663310    -12.7197    0.0099 
CD-54 8469B                    2460161.72947063    -70.9155    0.0102 
CD-54 8469B                    2460161.74951989    -70.8373    0.0093 
HE 1418+0150                   2460161.48905947    -35.8747    0.0153 
CD-54 8469A                    2460161.68269565    -67.9099    0.0084 
CD-62 1346                     2460161.88726507    124.4154    0.0170 
CD-56 8291                     2460161.90217262    -28.7469    0.0095 
Source 2696956135781037312     2460161.77771422    -12.6986    0.0099 
TYC 7500-902-1                 2460161.92322316     54.5448    0.0076 
HD   749                       2460161.93647420     30.4481    0.0070 
CD-54 8469B                    2460161.70730783    -70.9030    0.0114 
CD-25 10424                    2460161.56186986      9.4365    0.0070 
Source 2696956135781037312     2460161.81570629    -12.7785    0.0112 
TYC 9260-600-1                 2460161.58869194    -53.7561    0.0074 
HD 31732                       2460164.92556255      6.2940    0.0247 
HD 32712                       2460279.76372620     13.7296    0.0141 
HD 19851                       2460279.73724586      0.3495    0.0146 
HD 31732                       2460279.81814929     10.4278    0.0406 
TYC 4790-460-1                 2460279.75616079   -167.8551    0.3845 
HE 0534-4548                   2460279.78994769    117.5453    0.1751 
HD 50264                       2460279.75903033     58.2998    0.0234 
HD  9529                       2460279.81981869     28.5675    0.1019 
TYC 701-81-1                   2460279.78016393     52.4750    0.0112 
HD 269246                      2460279.74611935     89.2401    0.0965 
SZ Psc                         2460279.61134820     57.8536    0.0370 
SZ Psc                         2460279.61333692     58.1574    0.0348 
ASASSN-V J181441.19-755530.2   2460279.56336666    -87.7501    0.2408 
HD 273845                      2460279.76205672     16.9398    0.0169 
TYC 126-853-1                  2460279.77376809     36.4032    0.0239 
6 Cet                          2460279.65414596     18.8579    0.0190 
HD 69578                       2460279.80038943     19.7058    0.0882 
TYC 565-1564-1                 2460279.57491696   -170.6338    0.0325 
HR CMa                         2460279.80114683      1.4332    0.0269 
TYC 591-1090-1                 2460279.62168311     13.7582    0.0316 
HD 76225                       2460279.80620084     27.9293    0.0402 
HD 269246                      2460280.71896131     89.1925    0.0826 
HD 32712                       2460280.71293910     13.7397    0.0143 
TYC 565-1564-1                 2460280.56758360   -170.5377    0.0368 
HD 273845                      2460280.71726075     17.0083    0.0168 
TYC 591-1090-1                 2460280.57549772     13.6283    0.0285 
LP 761-112                     2460280.54549573   -230.6652    0.0344 
